	2021년 3월 12일	별표 5개 만점에 1개를 받았습니다.	일시적인 오류(10)와이파이 끄라고해서 껏고 메일 보내라고 해서 보냈고 그럼 피드백 이 있어야하는거 아닌가요? 유관 부서로 메일 포워딩 하려고 보내라고 했습니까? 메일에도 말했듯이 이용료 내면서 이용하는 고객의 입장에서 내가 왜 이런 불편을 느껴야 하는지 이해가 전혀 가지 않네요 벌써 열흘도 훨씬 넘었네요 빠른 답변 바랍니다 ㅡ.ㅡ	0
8903	2019년 1월 28일	별표 5개 만점에 4개를 받았습니다.	아직잘모르겠습니다 잘써보겠습니다	1
2694	2020년 8월 15일	별표 5개 만점에 1개를 받았습니다.	업데이트이후에 영상을 보면 치직직직 소리가 납니다 유투브나 다른 영상을 볼때는 안나는데 말이죠! 프로그램 버 전 05.11.02 Released date 2020.07.06 제공 LG U+ Player Version v54.75 UIVersion 1.2.5 입니다. ㅠ	0
7078	2020년 11월 25일	별표 5개 만점에 4개를 받았습니다.	교육프로가잘되어있네요	1
12650	2019년 10월 11일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
13485	2020년 5월 29일	별표 5개 만점에 5개를 받았습니다.	굿	1
16295	2018년 7월 21일	별표 5개 만점에 5개를 받았습니다.	아주좋습니다 정말 꼭	1
11967	2020년 3월 27일	별표 5개 만점에 5개를 받았습니다.	여기에 재미가 없네요 바보야	1
7925	2019년 2월 17일	별표 5개 만점에 5개를 받았습니다.	영화나여러가지가있어서좋아요	1
36	2021년 1월 29일	별표 5개 만점에 1개를 받았습니다.	로그인을하면 자꾸 실패라고하네요 어찌된건지 여러번을 해도 자꾸 실패 뜹니다. 어찌된건지 로그인 실패 비번틀리면 틀리다고나오는데 비번까지바꿔서 해도 로그인자체가 먹통인건지 자꾸 실패라고만 하네요	0
12519	2019년 12월 21일	별표 5개 만점에 5개를 받았습니다.	조아요	1
391	2020년 10월 18일	별표 5개 만점에 3개를 받았습니다.	더 여러채널이 있으면 좋겠네요.MBC특히 있었으면 합니다.방송채널에^^	1
4780	2019년 2월 24일	별표 5개 만점에 1개를 받았습니다.	모든게 업그레이드 이후 더 불편해졌어요. 원래대로 다 돌려줄순없나요.	0
14169	2019년 2월 12일	별표 5개 만점에 5개를 받았습니다.	좋습니다	1
7940	2019년 12월 29일	별표 5개 만점에 5개를 받았습니다.	LG전지서버스 가입니다만 틸퇴하고싶다 다음는 찾음하고제일한것이다	1
9555	2019년 2월 16일	별표 5개 만점에 3개를 받았습니다.	타사에비해매우만족스럽다	1
5220	2019년 2월 22일	별표 5개 만점에 5개를 받았습니다.	티비로보다 폰으로보다 바로바로 왔다갔다 이어볼수있어서 너무좋아요ㅎㅎ	1
6802	2019년 1월 30일	별표 5개 만점에 5개를 받았습니다.	보기좋게 변했네요 ^^ 고생많으셨습니다	1
4969	2019년 3월 9일	별표 5개 만점에 1개를 받았습니다.	비디오 포털일때가 쓰기 편했어요 10초당김 뭐임.. 진짜 쓸데없는 기능	0
7651	2018년 10월 19일	별표 5개 만점에 5개를 받았습니다.	이 어플 넘 좋아요...ㅎㅎㅎ	1
10193	2019년 12월 27일	별표 5개 만점에 5개를 받았습니다.	아주좋아요~	1
11458	2021년 1월 19일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
945	2020년 5월 4일	별표 5개 만점에 1개를 받았습니다.	들어가서 축구 채널을 보려고 했는데 갑다기 서비스 이용 중 문제가 발생했다면서 안 들어가집니다. 삭제했다가 다시 설치해도 계속 계정이 그대로 남아있어서 아무런 소용이 없습니다. 좀 고쳐주세요. 오랜만에 들어가서 축구 보려고 했는데 이렇게 돼서 보지도 못 하게 됬습니다. 빨리 고쳐주세요.	0
11738	2020년 7월 26일	별표 5개 만점에 5개를 받았습니다.	좋아용	1
13185	2019년 6월 9일	별표 5개 만점에 1개를 받았습니다.	갤럭시 s9사용자인데 사용중 컨텐츠 실행이 안되요. 짜증나네	0
1167	2019년 3월 5일	별표 5개 만점에 1개를 받았습니다.	업데이트 이후 뭔가 매끄럽지도 않구요 찾기도 힘들고 그리고 예를들어 드라마를 1화부터 10화까지 이어서 계속 봤을 경우 뒤로가기를 10회를 해야 홈으로 나가지는게 불편하고 여러가지로 불편한게 너무 많은데 다 적기 귀찮기도 하고 다 적지도 못할듯	0
8461	2020년 7월 8일	별표 5개 만점에 4개를 받았습니다.	실시간이라서 좋아요	1
5808	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	비디오포탈삭제시키고 뭐냐이게 유플러스갈수록정떨어지네 메뉴선택부터 하나같이다맘에안드네 약정끈나면 갈아탄다	0
5390	2019년 2월 15일	별표 5개 만점에 1개를 받았습니다.	나의무료찾기가 힘들어짐. 검색.찾기가.미로임.불편.	0
15354	2019년 9월 7일	별표 5개 만점에 1개를 받았습니다.	필요없음	0
12931	2019년 7월 11일	별표 5개 만점에 3개를 받았습니다.	청구서 결제라는건 휴대폰 요금에 같이 빠져 나간다 라건가요?	1
14300	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	최악 업그레이드	0
4506	2019년 1월 31일	별표 5개 만점에 2개를 받았습니다.	아쉬운것은 한국드라마나.영화 한글자막해주면 좋는데 이렇게 안해주니까 넷플릭스 봐요...	0
11385	2018년 10월 16일	별표 5개 만점에 5개를 받았습니다.	굿굿요ㅎ	1
10261	2019년 10월 11일	별표 5개 만점에 4개를 받았습니다.	재미 있지요	1
14448	2019년 1월 29일	별표 5개 만점에 4개를 받았습니다.	깔끔하네	1
14516	2019년 1월 30일	별표 5개 만점에 5개를 받았습니다.	굿	1
6063	2020년 1월 18일	별표 5개 만점에 1개를 받았습니다.	만 14세부터 사용할수있다는점이 아쉽네요 ㅋ	0
10136	2019년 10월 13일	별표 5개 만점에 5개를 받았습니다.	좋은 어플입니다	1
15137	2018년 9월 4일	별표 5개 만점에 5개를 받았습니다.	이것때문에 유플러스씀	1
815	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	영화월정액에 영어자막영화가 따로있어서 어학학습용으로 정말 잘 되어 있어서좋았는데. 그것때문에 월정액 결제해서 사용중이었는데 없어졌어요. 이제 월정액 해지 해야 하나요? 다시는 어학학습용 이용 못하나요? 도대체 뭐가 업그레이드 된건가요? 넷플릭스 따라하는건가요? 비디오포털이 훨씬 좋았는데.도대체 뭔짓을 한거야 짜증나고 돈아깝고.신경질나고 원스토어에서 비디오 포털 깔아놓으면 없어지고 또 깔면 없어지고.업데이터 싫어요.	0
1881	2020년 3월 19일	별표 5개 만점에 3개를 받았습니다.	이왕 결제해서 볼꺼면 지상파도 같이 해주면 좋겠어요. 지상파 드라마 같은것도 잘 보는데.. 푹티비 탈퇴하고 여기 가입하려했는데 지상파가없어서 고민되네요...	1
8776	2020년 7월 9일	별표 5개 만점에 5개를 받았습니다.	편리하고좋아요.재미있다	1
7231	2019년 1월 29일	별표 5개 만점에 4개를 받았습니다.	예전에비해 검색하기 편하네요 . .	1
10148	2019년 3월 24일	별표 5개 만점에 5개를 받았습니다.	좋아요 실시간	1
841	2019년 1월 29일	별표 5개 만점에 3개를 받았습니다.	처음엔 확 들어오지도 않고 해서 별로네 했는데~ 몇번 사용하다보니 불편하지는 않은데 아무래도 바뀌기 전 앱이 익숙해서 그런가 더 편하긴 했어요~ 무료로 볼 수 있는 영화나 드라마는 특별관 클릭해서 나의 무료 들어가면 볼 수 있고 화면이나 소리조절 할 때 눈에 확 들어오게 되어 있고 오류없이 앱은 잘 실행되네요^^ 05nautes@네이버닷컴	1
2587	2019년 6월 23일	별표 5개 만점에 1개를 받았습니다.	앱 며칠에 한번씩 제거 설치 반복해야하는 상황이네요. 왜 이런거지요? 핑크색 홈화면에서 멈춰있네요.	0
563	2019년 2월 25일	별표 5개 만점에 1개를 받았습니다.	이전 비디오 포털 대비 깔끔해지긴한거 같은데... 사실 UI가 달라진거 말고는 머가 다른지 모르겠다. 오히려 넷플릭스 따라한 느낌에 불편함만 늘었다. 근데 무엇보다 유플티비를 함께 사용하는 유저로써 핸드폰에서 보는걸 티비로 보는데 추가로 3천원이상을 받는건 아주 도둑놈 심보가 아닐까 생각이 든다. 이미 컨텐츠 비용을 모두 냈고 또한 자기네 티비 서비스에 대한 비용까지 부담하고 있는데 그 두개를 연동하는데 또 돈을 내야한다니... 유튜브는 그냥 연동되는데... 저걸 3천원 이상 쓸바에 구글 크롬캐스트와 같은 제품을 구매하고 유플티비를 해지하는게 낫다는 생각이 든다. 인터넷. 유플티비, 핸드폰까지 사용하는 고객에게 pc에서도 볼수 있는걸 티비에서 보는데 또 돈을 받는 심보는 이해가 안간다. 타사도 이런가? 한번 확인 해봐야겠다.	0
10506	2019년 6월 15일	별표 5개 만점에 1개를 받았습니다.	들어가지가 않아요	0
6153	2019년 1월 31일	별표 5개 만점에 3개를 받았습니다.	보기가. 불편합니다. 찾기도 힘들고	1
5736	2019년 7월 26일	별표 5개 만점에 4개를 받았습니다.	영상을 보다가 자꾸 팅기는 현상이 있는데 어떻게 해결해야 되나요?	1
13545	2019년 3월 14일	별표 5개 만점에 1개를 받았습니다.	별로임	0
7575	2019년 12월 20일	별표 5개 만점에 5개를 받았습니다.	늘,즐겁게 관람합니다.늘 고맙습니다.	1
10831	2019년 12월 21일	별표 5개 만점에 5개를 받았습니다.	좋아요..아주	1
4672	2019년 6월 10일	별표 5개 만점에 2개를 받았습니다.	저만 그런지 잘 모르겠는데 오늘 아침에 접속하니까 제가 보던 vod 이어보기 목록이 싹 사라지고 영화나 드라마를 누르면 해당페이지는 현재 이용하실 수 없다고 뜨고 검색도 안 됩니다 cj월정액 이용하고 있는데 월정액 메뉴 누르면 접근 할 수 없다고 떠요 앱이 오류인가 뭔가요 답변 좀 부탁드립니다	0
4476	2019년 11월 14일	별표 5개 만점에 1개를 받았습니다.	로그인이 안됩니다.. 몇번이나 시도를 했는데도 안되네요.. 에휴	0
876	2019년 6월 11일	별표 5개 만점에 1개를 받았습니다.	비디오포털땐 이용에 불편이 없었는데, 새로 바뀌고 나서는, 볼수있는 프로도 몇없고, 이제는 어플 실행도 안되고 이용권 끊고 쓰지도 못하면 뭣하러 이용하나요? 빨리 개선시켜야 되는거 아닌가요? 이대로 가만히 있을건가요?	0
10747	2019년 4월 13일	별표 5개 만점에 5개를 받았습니다.	아주좋아요	1
12631	2019년 10월 12일	별표 5개 만점에 4개를 받았습니다.	좋아요	1
2045	2019년 12월 24일	별표 5개 만점에 1개를 받았습니다.	사용자 인증을 완료하지 못했다면서 USIM을 뺏다가 껴보라고 하고 앱이 실행이 안되네요. 방금 USIM칩 빼고 실행하면 정상적으로 실행되는데 USIM을 다시 끼면 인증을 완료 하지 못했다고 하네요.	0
13750	2019년 2월 19일	별표 5개 만점에 5개를 받았습니다.	좋아진듯	1
6278	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	넷플렉스처럼한것같이생겼어요...... 많이불편해요..	0
2249	2019년 2월 15일	별표 5개 만점에 1개를 받았습니다.	업데이트 된게 너무 불편해요 적응을 못하는게 아니라 오류도 자주나고 후....그런데 이런 이벤트에선 좋은 말을 해야하는거 아는데 아니 진짜 너무 불편해요	0
16104	2018년 8월 26일	별표 5개 만점에 1개를 받았습니다.	에러가 너무 자주 발생	0
15107	2018년 9월 4일	별표 5개 만점에 4개를 받았습니다.	영화.Tv관련등 많은 것을 볼수 있어 좋음. 좀더 다양한 폭넓은 내용 원함	1
3341	2020년 9월 5일	별표 5개 만점에 1개를 받았습니다.	일시적인 오류(10)가 발생했다고 나온지 3주째에요. 어플 실행도 안되고 있어요. 뭐에요 이거?	0
9300	2019년 7월 11일	별표 5개 만점에 2개를 받았습니다.	lg는 왜 pc로 볼수없나요?	0
9079	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	사용하기 불편해짐	0
1232	2019년 11월 27일	별표 5개 만점에 4개를 받았습니다.	잘 보고있어요. 그런데 태블릿에서는 가로보가가 되면 좋겠어요. 영상은 물론 되지만 고르기가 힘들어요. 그리고 차량에서도 이용하는데, 가로로 설치가 되어있어서 그런지 실시간방송 들어가면 바로 영상이 풀화면으로 나오는데, 채널을 바꿀수가 없어요. 스크롤아 안돼서.. 영상화면애서 터치하면 채널바꾸는 메뉴 나오게 할수 없나요?	1
2277	2019년 11월 5일	별표 5개 만점에 1개를 받았습니다.	다좋은데 뉴스1시간보니 데이터경고가뜨네요~용량을 너무많이 잡아먹음~1시간보는데 데이터2기가넘게 잡아먹는듯~이걸3g로해주던가 해야지~넘아쉽네요~	0
771	2018년 10월 23일	별표 5개 만점에 3개를 받았습니다.	다운로드를 받아도 어플에서만 볼수있어서 인터넷이 안되면 다운받은 파일도 볼수 없네요ㅠ 예전에는 갤러리로 들어갔던거 같은데 이제는 돈내고 다운받은 의미가 없어졌어요. 여행갈때 와이파이 없는데서 보려고 했는데. 무단배포 방지하기 위해서인건 알지만 다운받은 기기에서만이라도 인터넷 안쓰고 볼수 있게 해주시면 좋겠어요.	1
7239	2019년 2월 28일	별표 5개 만점에 5개를 받았습니다.	간단 명료해서 좋아요	1
12473	2019년 12월 23일	별표 5개 만점에 3개를 받았습니다.	좋아요	1
4391	2019년 8월 10일	별표 5개 만점에 1개를 받았습니다.	업뎃후 스틸컷도 사라지고 무료컨텐츠도 줄고 인터페이스도 더 불편하고 넷플 안보려고 하는데 참 그렇네 쩝	0
4073	2020년 5월 3일	별표 5개 만점에 2개를 받았습니다.	왜 업데두안되고 다시다운도 안되는건지..와이파이다운로드도 다끄고도 안되누	0
1274	2019년 2월 5일	별표 5개 만점에 1개를 받았습니다.	업그레이드 뜻은 알고 이러는건가요? 각 서비스별 콘텐츠 찾기도 불편해졌고 콘텐츠 플레이시 화면 드레그로도 건너띄서나 되돌리기가 되던 기능도 없어지고..무엇보다 어학버튼이 어디로간겁니까? 이러려고 헛돈들여서 앱다시 만들고 고객 귀찮게 다시 앱설치시키고 합니까? 돈내고 서비스이용하던 이용자들도 해지하게 만든 이런 프로젝트 담당자 짜르시길.... 가뜩이나 유플러스 통신사 입장에서도 악재가 많은데 이런 서비스조차 망쳐버리면 통신사 갈아타고 싶게만드네요...	0
9819	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	장말 더 많이 재미있어요	1
539	2020년 11월 3일	별표 5개 만점에 5개를 받았습니다.	무료로 쓰기 좋습니다.	1
11073	2019년 2월 20일	별표 5개 만점에 3개를 받았습니다.	쓸만해요	1
14394	2019년 1월 30일	별표 5개 만점에 5개를 받았습니다.	굳굳 깔큼하네유	1
11696	2020년 10월 8일	별표 5개 만점에 5개를 받았습니다.	비디오 포털에서 못본 영화들을 많이 보고있습니다. 고화질에 콘텐츠도 많고 좋네요.	1
8959	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	활용도가 높음	1
9307	2019년 2월 19일	별표 5개 만점에 2개를 받았습니다.	점점더 복잡해	0
11120	2019년 2월 15일	별표 5개 만점에 5개를 받았습니다.	너무좋아요	1
12543	2020년 7월 15일	별표 5개 만점에 5개를 받았습니다.	그냥조와	1
11688	2020년 10월 8일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
9246	2018년 10월 18일	별표 5개 만점에 1개를 받았습니다.	개짜증 업뎃좀작작해라	0
6756	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	환장하네요 뭐이런경우가!	0
10626	2019년 2월 22일	별표 5개 만점에 5개를 받았습니다.	아주 좋아요	1
6585	2019년 8월 3일	별표 5개 만점에 1개를 받았습니다.	갑자기 오류 10이라고 뜨며 안열림	0
250	2020년 11월 1일	별표 5개 만점에 4개를 받았습니다.	갤럭시노트10플러스에선 초고화질이 선택가능하지만 갤럭시탭7 플러스 와이파이 모델에선 고화질까지만 선택이 가능합니다. 해당 영상은 신고질라이고 오류인지요	1
7967	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	ㅋㅋ 개발자들 바보인듯 ..업뎃이 더 구려지다니..실용성과 편의성이 모두 사라진.. 자체로 똥망	0
7848	2019년 4월 23일	별표 5개 만점에 5개를 받았습니다.	10퍼이상저장되면실행가능하단말이먼가요	1
3371	2019년 6월 23일	별표 5개 만점에 1개를 받았습니다.	잘 이용하고 있는데 요즘 자꾸 영상 재생중에 어플이 꺼져요..이거 어떻게 안되나요ㅠㅠ	0
1842	2019년 12월 27일	별표 5개 만점에 1개를 받았습니다.	아니, 뭐자꾸 건들지 말고 놔두면 안됩니까..? 영화나 암꺼나 보고 자려는데 업그래이드는 계속 빙빙돌고 나중에 누르면 종료되고... 엘지 폰 나름 단기간에 V30.V50쓰는데 주변인들은 다 삼성쓰며같은 앱 받아 일하는데 나만 더디고 에러납니다. 걍...보던거 편하게 보게 놔두기도 해주시길...업그래이드 거부하면 걍 기존꺼로 빨리보게 해줘요 밤늦었다고요.....ㅠㅠ	0
1272	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	앱실행을 할수가 없습니다 아래 오류메세지만 반복해서 보고 있습니다. 일시적인 오류(30)이 발생했습니다. 잠시 후 다시 시도해주세요 문제가 계속되면 고객센터로 문의바랍니다 이용에 불편을 드려 죄송합니다	0
12348	2019년 12월 20일	별표 5개 만점에 5개를 받았습니다.	Good	1
15102	2018년 9월 9일	별표 5개 만점에 2개를 받았습니다.	갤럭시 탭s4로 보는데 동영상 재생도중에 갑자기 태블릿 자체가 튕겨버리네요 어플이 문젠건지 참 답답하네요	0
13460	2019년 4월 9일	별표 5개 만점에 5개를 받았습니다.	매우좋음	1
7302	2019년 2월 9일	별표 5개 만점에 1개를 받았습니다.	타이머신 기능 살려주세요	0
3414	2019년 6월 21일	별표 5개 만점에 4개를 받았습니다.	6.20 업데이트 되고 실행이 안됩니다 6.21 알려준 절차대로 진행 후 실행되는군요 빠른 답변에 고맙습니다	1
1409	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	오늘 아침에 업데이트 했을 땐 들어갈 수 있었는데 지금 들어가서 보려니까 오류 30 뜨면서 안 들어가져요 아침에도 업데이트 안 하면 사용 안 된다 해서 한 건데 이럼 대체 무슨 이유로 업데이트 강요를...,,, 이토 준지 보려고 했는데,,,	0
15945	2018년 8월 2일	별표 5개 만점에 3개를 받았습니다.	실시간tv는 왜 mbc랑 kbs가 없나요ㅜ 재미없는것만 있네요.	1
15081	2018년 10월 19일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
11022	2019년 6월 12일	별표 5개 만점에 5개를 받았습니다.	굳굳 좋아여♡♡(사랑)♡♡	1
846	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	별점 1점도 아까움 보고싶은 방송 찾아보는것도 훨씬 힘들어졌고 밀어서 장면 넘기는것도 안되고 뭔 10초씩만 이동되고 10초이동하면서 몇초 로딩할꺼면 뭐하러 이동을 하나요 상식적으로 생각을 하면서 업데이트를 하세요 시청목록 삭제도 안되고 제대로 되는게 아무것도 없음 기존앱에 있던 장점 전부 사라지고 불편함만 남음 이거 기획한사람 제정신 맞음? 뭔생각으로 이런식으로 업데이트를 한건지 궁금하네요 맘같아서는 욕쓰고 싶을정도임 그리고 번거로우시겠지만 어쩌고 하는거 극혐임 자기들이 잘못해놓고 왜 사용자들이 번거로움을 감수해야됨? 잘쓰던거를 불편하게 만들어 놨으면 뒤에 올 일에대한 대책도 세워놨어야지 나같으면 이번업뎃 만든사람 회사 이미지 실추 시킨걸로 소송 걸고 퇴사 시킨다 진짜 허가 해준 윗 라인도 다 짤라야됨 월정액 4개나 들어놓고 잘쓰고 있었는데 생각할수록 빡치네 진짜 그리고 직원들 별점 5점 쳐누르지마라 평점 올리려고 수작질하네 몇십분을 봐도 다 불편하다는데 5점주는거 다 직원이지?	0
10529	2019년 12월 27일	별표 5개 만점에 1개를 받았습니다.	업데 좀 그만해라. 졸라 귀차나	0
3829	2020년 7월 15일	별표 5개 만점에 1개를 받았습니다.	수시로 에러가 나서 서비스 이용이 안되는 신기한 앱...벌써 몇번 지웠다 다시 설치함	0
3229	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	일시적인 오류 (30)이 뜨네요 기종 샤오미 홍미노트5, 유플러스 요금 무제한 정상이용중이였습니다.. 고쳐주세요	0
7783	2019년 2월 8일	별표 5개 만점에 1개를 받았습니다.	안바뀌는게 더 나았을듯 다시 예전으로 돌려놔주세요	0
8466	2019년 10월 11일	별표 5개 만점에 1개를 받았습니다.	자꾸 업데이트하라고 강요해서 짜증나네요	0
15548	2018년 10월 17일	별표 5개 만점에 5개를 받았습니다.	굿	1
6015	2019년 2월 16일	별표 5개 만점에 5개를 받았습니다.	실시간으로도 볼 수있어좋고 무료영화에 모든방송이 고화질이라 더욱 좋네요 camac990@다음	1
3551	2019년 7월 10일	별표 5개 만점에 1개를 받았습니다.	이어플 완전비추합니다 영상을30분이상못봄팅김 형상도 심한데 서비스까지 쓰레기임 의견을 5번넘게보내도 답도없고 좋아질기미가1도없음 쓰시다아까운데이터들날리지마시고다른어플찾으시는걸추천드림니다	0
253	2020년 11월 25일	별표 5개 만점에 4개를 받았습니다.	영상도 고화질로 볼 수있고 무료영화 서비스도 좋아요 가끔씩 꺼지는 것과 큰 화면에서 채널이동 로딩이 긴게 좀 아쉬워요 대체로 만족합니다	1
10509	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	아주 좋아요^^	1
13385	2019년 6월 18일	별표 5개 만점에 5개를 받았습니다.	굿~~	1
11610	2020년 12월 14일	별표 5개 만점에 5개를 받았습니다.	안녕	1
14091	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	에러나서 접속이 안되요!!!!!!	0
10196	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	접속이 안돼요	0
12144	2019년 12월 28일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
13890	2019년 2월 21일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
9600	2019년 10월 11일	별표 5개 만점에 5개를 받았습니다.	최고네요 그리고 최고의 인기 드라마	1
12131	2020년 1월 10일	별표 5개 만점에 4개를 받았습니다.	좋아.	1
10577	2019년 2월 24일	별표 5개 만점에 5개를 받았습니다.	새로 바뀐 유플로스 티비 최곱니다!	1
16067	2018년 7월 28일	별표 5개 만점에 1개를 받았습니다.	업데이트 이후 안들어가집니다.	0
3402	2018년 11월 29일	별표 5개 만점에 4개를 받았습니다.	영상 상단위에 연속재생이라는 버튼없는데요 저는 어떤무료영상 화 전부다 다운로드 하고 그냥보려했는데 연속재생없는데	1
7873	2019년 2월 15일	별표 5개 만점에 1개를 받았습니다.	봤던 프로그램삭제가 왜 안되나요 삭제 됬다고 문구는 뜨는데ㅡㅡ	0
940	2019년 7월 20일	별표 5개 만점에 1개를 받았습니다.	U+tv 가입자인데 아이디로 로그인을 시도하면 계속해서 로그인 실패했다고만 뜨고 로그인이 안됨... 벌써 10번이상 삭제 재설치를 반복하는데 로그인 자체가 안되는데 멀하라는건지 아니 U+tv 가입자가 내 아이디로 로그인하는데 왜 로그인이 실패라고 하는지 이유를 알수가 없내 tv가입자가 사용못하면 누가 사용하라는건지	0
11525	2021년 1월 20일	별표 5개 만점에 5개를 받았습니다.	좋다	1
7720	2019년 2월 12일	별표 5개 만점에 1개를 받았습니다.	비디오포털이 훨씬좋다ㅡㅡ	0
6495	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	화면이안나와요.... 업데이트전이더낳은것같아요	0
10947	2019년 2월 14일	별표 5개 만점에 4개를 받았습니다.	더 세련된 느낌	1
12277	2019년 12월 28일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
3968	2019년 12월 2일	별표 5개 만점에 1개를 받았습니다.	같은 핸드폰기종인데 제것만 너무 끊깁니다. 삭제했다 설치해도 똑같군요ㅡ.ㅡ	0
5589	2019년 1월 30일	별표 5개 만점에 1개를 받았습니다.	뭔 쓰레기를 깔아놨냐? 계속 오류만 뜨는구만 짜증만 나네	0
11300	2020년 7월 8일	별표 5개 만점에 5개를 받았습니다.	사랑해요	1
5358	2019년 1월 31일	별표 5개 만점에 4개를 받았습니다.	보기 편해지고 많은정보를 제공받을수 있어 좋습니다!!!!	1
11802	2020년 7월 10일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
3721	2019년 1월 29일	별표 5개 만점에 1개를 받았습니다.	티비가유플러스셋탑인데다가 삼사월정액 끈어져있는데 폰에서도 적용되는것두아니구 이걸따로이용할가치가잇나모르것네요 다돈주고 사야되고만	0
6740	2019년 6월 10일	별표 5개 만점에 1개를 받았습니다.	지금 서버 다운이죠? 서비스 수준이 왜 이런가요?	0
11790	2020년 10월 8일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
3794	2020년 10월 8일	별표 5개 만점에 1개를 받았습니다.	더이상 호환이안되서 못씀 리뷰수정해도 과거 좋게 올린별점으로 바뀜	0
15865	2018년 9월 1일	별표 5개 만점에 3개를 받았습니다.	일시적인접속장애가 지속발생중입니다. 만일아시안게임때문에발생되는문제라면 서버부하율을고려하여 대비할수있었을거라여겨집니다. 당일있을한일전을포함하여향후이와유사한건으로또문제를일으킬듯보여지는데소홀한조치로이용자의신뢰를잃어버리는일이없길바랄뿐입니다. 조치가언제이루어질지공문도사과문도없다는것이아쉬울따름입니다.	1
15885	2018년 8월 22일	별표 5개 만점에 2개를 받았습니다.	아니 신발서버를 어떻게 관리하길래 이따위로 관리하냐 월정액 끊어놓고 머하지는거냐 ㅡㅡ 돈 만 나가게 환불을해주던가 장난하나	0
4956	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	왜 이렇게 만들어 놨는지... 솔직히 비디오포털이 쓰기에는 훨씬 편했음	0
9703	2019년 1월 30일	별표 5개 만점에 3개를 받았습니다.	좋아요 꼭 보세요	1
9052	2019년 3월 11일	별표 5개 만점에 1개를 받았습니다.	월정액권을 해지했는데 계속돈이나가네요ㅡㅡ	0
15769	2018년 10월 16일	별표 5개 만점에 5개를 받았습니다.	굿	1
5128	2019년 6월 21일	별표 5개 만점에 5개를 받았습니다.	바쁜시간에도 어디에서나 시청할수있어 편하고 좋아요	1
1534	2019년 2월 15일	별표 5개 만점에 3개를 받았습니다.	전보다 카테고리별로보여주는건좋지만 더복잡해진거같아요 업데이트할때마다 멈춤현상 버퍼링현상 등이 넘자주발생합니다 다삭제햇다가 다시재설치해도 그러한현상이계속되네요 빨리개선해주세요 usaqwert@네이버닷컴	1
5819	2020년 1월 12일	별표 5개 만점에 5개를 받았습니다.	이전 lg쓸때 애용햇는데 폰바꾸면서 sk갓더니 lg가 너무 그립네요ㅠ 몇달만 버티고 다시 lg로 가야겠습니다	1
4432	2019년 7월 23일	별표 5개 만점에 4개를 받았습니다.	잘 활용하고 있는데요 예전 앱이 더 편했어요 이웃 프로를 좌우로 넘길수 없음이 좀 답답 합니다	1
7510	2019년 3월 12일	별표 5개 만점에 3개를 받았습니다.	아니 어제 글을 적었는데 사라지네요 영화 인셉션 결제했는데 안되네요 환불바랍니다	1
6286	2020년 10월 3일	별표 5개 만점에 1개를 받았습니다.	라이브 영화 채널 왜 두개밖에 없는거지 OC@이랑 이런채널이 없네	0
7942	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	업뎃 이후 영상 안나옴 폰은 되는데 태블릿이 안되네요	0
11819	2020년 7월 12일	별표 5개 만점에 5개를 받았습니다.	ㄷ더ㅗㅓㅏrgfh.gi	1
1265	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	롤리팝에서는 사용할 수 없는 건가요? 실행시키니 화면이 검게 변하고 더이상 진행되지 않습니다. 버전 낮은 안드로이드 기기를 사용하는 유플러스 사용자는 이제 이 서비스를 쓸 수 없게 된건가요?	0
